Date,Store_ID,Product_Category,Product_ID,Quantity_Sold,Price_per_Unit,Discount per_order,Total_Sales,District,State
2/20/2024,DM010,Home & Kitchen,P3032,16,192.03,5%,2918.86,Lucknow,Uttar Pradesh
12/10/2024,DM006,Stationery,P2172,14,123.97,13%,1509.95,Delhi,Delhi
4/5/2024,DM015,Groceries,P4684,5,308.33,4%,1479.98,Guwahati,Assam
4/27/2024,DM020,Groceries,P2733,47,458.57,16%,18104.34,Panaji,Goa
3/16/2024,DM009,Electronics,P3723,33,495.89,11%,14564.29,Jaipur,Rajasthan
7/14/2024,DM002,Electronics,P9768,30,445.04,26%,9879.89,Pune,Maharashtra
10/24/2024,DM007,Groceries,P6943,39,109.7,10%,3850.47,Ahmedabad,Gujarat
2/15/2024,DM014,Electronics,P7504,41,136.25,27%,4077.96,Bhubaneswar,Odisha
8/20/2024,DM011,Electronics,P4568,38,189.31,5%,6834.09,Chandigarh,Punjab
5/31/2024,DM010,Groceries,P3469,32,318.5,2%,9988.16,Lucknow,Uttar Pradesh
11/6/2024,DM001,Groceries,P5134,29,106.41,10%,2777.3,Mumbai,Maharashtra
6/12/2024,DM007,Stationery,P7678,23,377.59,13%,7555.58,Ahmedabad,Gujarat
12/26/2024,DM015,Clothing,P6687,13,498.88,30%,4539.81,Guwahati,Assam
10/23/2024,DM009,Groceries,P1656,19,450.57,10%,7704.75,Jaipur,Rajasthan
11/11/2024,DM012,Groceries,P2330,50,427.8,19%,17325.9,Indore,Madhya Pradesh
4/8/2024,DM019,Clothing,P4575,21,237.1,9%,4530.98,Ranchi,Jharkhand
1/20/2024,DM009,Stationery,P2975,20,32.52,20%,520.32,Jaipur,Rajasthan
9/30/2024,DM018,Stationery,P5007,23,309.51,18%,5837.36,Shimla,Himachal Pradesh
9/14/2024,DM011,Home & Kitchen,P2339,38,464.76,1%,17484.27,Chandigarh,Punjab
8/29/2024,DM009,Electronics,P3821,13,39.95,4%,498.58,Jaipur,Rajasthan
10/17/2024,DM019,Clothing,P2367,16,297.43,3%,4616.11,Ranchi,Jharkhand
2/1/2024,DM020,Stationery,P2217,30,28.13,2%,827.02,Panaji,Goa
3/30/2024,DM015,Electronics,P8732,32,166.4,16%,4472.83,Guwahati,Assam
4/24/2024,DM011,Groceries,P9216,28,58.48,3%,1588.32,Chandigarh,Punjab
12/21/2024,DM004,Groceries,P7518,29,138.22,23%,3086.45,Chennai,Tamil Nadu
6/4/2024,DM002,Home & Kitchen,P1032,49,181.06,24%,6742.67,Pune,Maharashtra
8/30/2024,DM004,Groceries,P5149,46,139.78,23%,4951.01,Chennai,Tamil Nadu
4/12/2024,DM019,Stationery,P9637,35,349.81,19%,9917.11,Ranchi,Jharkhand
7/9/2024,DM007,Groceries,P9611,38,269.47,9%,9318.27,Ahmedabad,Gujarat
7/20/2024,DM020,Groceries,P5811,13,163.68,11%,1893.78,Panaji,Goa
7/25/2024,DM003,Stationery,P5266,25,278.05,28%,5004.9,Bangalore,Karnataka
4/12/2024,DM004,Stationery,P7126,39,117.79,20%,3675.05,Chennai,Tamil Nadu
10/23/2024,DM008,Stationery,P8846,10,207,8%,1904.4,Kolkata,West Bengal
10/19/2024,DM013,Clothing,P2907,19,293.43,7%,5184.91,Patna,Bihar
1/19/2024,DM001,Clothing,P3471,16,139.38,9%,2029.37,Mumbai,Maharashtra
11/2/2024,DM010,Groceries,P2290,26,471.68,17%,10178.85,Lucknow,Uttar Pradesh
1/19/2024,DM007,Clothing,P9397,20,390.73,13%,6798.7,Ahmedabad,Gujarat
5/24/2024,DM002,Home & Kitchen,P6793,10,449.45,21%,3550.66,Pune,Maharashtra
8/22/2024,DM001,Clothing,P2937,16,389.97,17%,5178.8,Mumbai,Maharashtra
9/23/2024,DM014,Stationery,P3087,43,112.58,5%,4598.89,Bhubaneswar,Odisha
4/10/2024,DM011,Clothing,P8864,2,388.38,24%,590.34,Chandigarh,Punjab
6/12/2024,DM016,Electronics,P7741,24,151.92,11%,3245.01,Thiruvananthapuram,Kerala
5/19/2024,DM009,Electronics,P2420,26,285.2,12%,6525.38,Jaipur,Rajasthan
10/2/2024,DM002,Stationery,P7406,42,207.61,1%,8632.42,Pune,Maharashtra
11/22/2024,DM017,Stationery,P1889,29,398.97,22%,9024.7,Dehradun,Uttarakhand
8/7/2024,DM004,Stationery,P4697,38,398.06,1%,14975.02,Chennai,Tamil Nadu
3/5/2024,DM010,Groceries,P8775,31,301.29,9%,8499.39,Lucknow,Uttar Pradesh
1/31/2024,DM011,Stationery,P3757,4,436.58,18%,1431.98,Chandigarh,Punjab
1/31/2024,DM007,Groceries,P8111,45,325.68,6%,13776.26,Ahmedabad,Gujarat
6/18/2024,DM016,Electronics,P9357,7,91.99,17%,534.46,Thiruvananthapuram,Kerala
11/24/2024,DM015,Stationery,P5039,14,319.87,29%,3179.51,Guwahati,Assam
11/18/2024,DM017,Groceries,P9880,49,416.13,17%,16924.01,Dehradun,Uttarakhand
3/17/2024,DM008,Groceries,P1050,41,468.8,14%,16529.89,Kolkata,West Bengal
9/4/2024,DM001,Stationery,P7916,1,93.41,6%,87.81,Mumbai,Maharashtra
11/28/2024,DM012,Electronics,P8489,41,301.01,27%,9009.23,Indore,Madhya Pradesh
3/8/2024,DM007,Home & Kitchen,P1424,28,170.92,13%,4163.61,Ahmedabad,Gujarat
1/16/2024,DM018,Electronics,P6144,29,160.16,24%,3529.93,Shimla,Himachal Pradesh
2/26/2024,DM007,Groceries,P3477,28,251.04,9%,6396.5,Ahmedabad,Gujarat
11/28/2024,DM019,Home & Kitchen,P9672,13,95.03,9%,1124.2,Ranchi,Jharkhand
6/29/2024,DM012,Electronics,P7531,50,96.14,13%,4182.09,Indore,Madhya Pradesh
12/3/2024,DM004,Groceries,P8435,4,334.95,30%,937.86,Chennai,Tamil Nadu
9/21/2024,DM001,Home & Kitchen,P4144,5,156.25,14%,671.88,Mumbai,Maharashtra
6/10/2024,DM004,Home & Kitchen,P9814,3,326.43,4%,940.12,Chennai,Tamil Nadu
11/23/2024,DM008,Electronics,P6095,46,293.27,0%,13490.42,Kolkata,West Bengal
1/6/2024,DM008,Electronics,P1269,5,48.87,25%,183.26,Kolkata,West Bengal
2/14/2024,DM008,Home & Kitchen,P5559,17,333.59,6%,5330.77,Kolkata,West Bengal
6/20/2024,DM011,Groceries,P8560,3,229.3,22%,536.56,Chandigarh,Punjab
7/14/2024,DM007,Groceries,P1376,22,496.24,4%,10480.59,Ahmedabad,Gujarat
1/26/2024,DM004,Groceries,P6314,34,240.42,18%,6702.91,Chennai,Tamil Nadu
5/7/2024,DM008,Electronics,P8366,31,326.89,26%,7498.86,Kolkata,West Bengal
9/23/2024,DM007,Electronics,P3715,29,230.48,21%,5280.3,Ahmedabad,Gujarat
8/1/2024,DM005,Stationery,P5281,2,336.13,30%,470.58,Hyderabad,Telangana
5/1/2024,DM019,Clothing,P1039,50,161.39,6%,7585.33,Ranchi,Jharkhand
2/27/2024,DM006,Groceries,P8612,7,207.19,9%,1319.8,Delhi,Delhi
9/4/2024,DM017,Clothing,P6279,39,440.59,15%,14605.56,Dehradun,Uttarakhand
1/29/2024,DM004,Groceries,P2249,7,22.24,24%,118.32,Chennai,Tamil Nadu
4/26/2024,DM011,Groceries,P2178,10,410.55,14%,3530.73,Chandigarh,Punjab
1/27/2024,DM007,Electronics,P3765,26,70.79,5%,1748.51,Ahmedabad,Gujarat
12/28/2024,DM020,Stationery,P4319,41,227.08,7%,8658.56,Panaji,Goa
1/31/2024,DM001,Clothing,P8498,38,416.84,27%,11563.14,Mumbai,Maharashtra
1/2/2024,DM007,Electronics,P1641,8,358.02,15%,2434.54,Ahmedabad,Gujarat
8/15/2024,DM016,Stationery,P3589,22,79.54,0%,1749.88,Thiruvananthapuram,Kerala
10/27/2024,DM002,Clothing,P5748,39,374.56,15%,12416.66,Pune,Maharashtra
6/26/2024,DM006,Home & Kitchen,P9320,10,311.73,3%,3023.78,Delhi,Delhi
1/6/2024,DM020,Groceries,P7623,1,134.45,14%,115.63,Panaji,Goa
1/9/2024,DM014,Groceries,P6639,2,418.65,9%,761.94,Bhubaneswar,Odisha
3/21/2024,DM004,Clothing,P5298,41,38.41,6%,1480.32,Chennai,Tamil Nadu
1/7/2024,DM004,Groceries,P2042,49,211.38,25%,7768.21,Chennai,Tamil Nadu
7/8/2024,DM008,Stationery,P1996,6,300.86,8%,1660.75,Kolkata,West Bengal
11/2/2024,DM014,Electronics,P2592,5,231.02,21%,912.53,Bhubaneswar,Odisha
6/11/2024,DM002,Electronics,P3182,7,265.53,20%,1486.97,Pune,Maharashtra
3/1/2024,DM012,Groceries,P7250,18,303.79,28%,3937.12,Indore,Madhya Pradesh
5/22/2024,DM001,Stationery,P2504,35,93.04,16%,2735.38,Mumbai,Maharashtra
4/11/2024,DM015,Electronics,P3639,12,185.73,0%,2228.76,Guwahati,Assam
3/30/2024,DM016,Home & Kitchen,P8168,10,248.24,29%,1762.5,Thiruvananthapuram,Kerala
8/15/2024,DM004,Stationery,P6505,43,48.8,30%,1468.88,Chennai,Tamil Nadu
5/2/2024,DM013,Stationery,P4569,34,407.19,16%,11629.35,Patna,Bihar
5/4/2024,DM007,Clothing,P8249,23,369.92,12%,7487.18,Ahmedabad,Gujarat
2/1/2024,DM008,Clothing,P3410,27,292.1,27%,5757.29,Kolkata,West Bengal
8/15/2024,DM006,Groceries,P1248,38,124.87,4%,4555.26,Delhi,Delhi
8/1/2024,DM004,Groceries,P6053,50,371.34,25%,13925.25,Chennai,Tamil Nadu
10/21/2024,DM010,Stationery,P1490,49,26.26,24%,977.92,Lucknow,Uttar Pradesh
1/4/2024,DM019,Electronics,P6893,19,278.1,29%,3751.57,Ranchi,Jharkhand
7/30/2024,DM015,Clothing,P2376,30,127.97,8%,3531.97,Guwahati,Assam
11/20/2024,DM015,Groceries,P1381,44,158.86,23%,5382.18,Guwahati,Assam
1/15/2024,DM017,Home & Kitchen,P7614,3,486.99,28%,1051.9,Dehradun,Uttarakhand
1/19/2024,DM014,Home & Kitchen,P5212,23,338.66,4%,7477.61,Bhubaneswar,Odisha
7/15/2024,DM015,Stationery,P5826,8,312.12,11%,2222.29,Guwahati,Assam
5/5/2024,DM010,Clothing,P7390,47,440,1%,20473.2,Lucknow,Uttar Pradesh
9/3/2024,DM002,Electronics,P9984,18,38.88,30%,489.89,Pune,Maharashtra
7/30/2024,DM011,Home & Kitchen,P9258,45,326.15,10%,13209.07,Chandigarh,Punjab
3/16/2024,DM001,Clothing,P5589,6,141.02,4%,812.28,Mumbai,Maharashtra
11/6/2024,DM013,Groceries,P9509,43,446.1,26%,14194.9,Patna,Bihar
1/4/2024,DM005,Stationery,P1986,42,477.5,6%,18851.7,Hyderabad,Telangana
12/10/2024,DM015,Home & Kitchen,P3583,34,313.65,29%,7571.51,Guwahati,Assam
5/7/2024,DM012,Home & Kitchen,P1698,36,95.98,15%,2936.99,Indore,Madhya Pradesh
8/16/2024,DM002,Groceries,P4467,38,98.65,7%,3486.29,Pune,Maharashtra
8/7/2024,DM016,Clothing,P8341,1,348.21,16%,292.5,Thiruvananthapuram,Kerala
9/30/2024,DM003,Clothing,P7083,36,396.4,27%,10417.39,Bangalore,Karnataka
2/7/2024,DM004,Groceries,P6358,13,327.41,25%,3192.25,Chennai,Tamil Nadu
7/8/2024,DM013,Groceries,P3709,28,161.5,13%,3934.14,Patna,Bihar
5/23/2024,DM009,Clothing,P5966,4,151.08,8%,555.97,Jaipur,Rajasthan
2/1/2024,DM010,Electronics,P1981,26,250.97,17%,5415.93,Lucknow,Uttar Pradesh
6/15/2024,DM019,Electronics,P1151,23,180.35,16%,3484.36,Ranchi,Jharkhand
11/7/2024,DM005,Home & Kitchen,P8201,28,422.09,11%,10518.48,Hyderabad,Telangana
3/4/2024,DM009,Home & Kitchen,P4479,43,451.34,19%,15720.17,Jaipur,Rajasthan
10/24/2024,DM018,Home & Kitchen,P3332,41,364.83,6%,14060.55,Shimla,Himachal Pradesh
1/16/2024,DM019,Groceries,P9014,13,121.2,26%,1165.94,Ranchi,Jharkhand
7/10/2024,DM008,Stationery,P6674,33,449.79,19%,12022.89,Kolkata,West Bengal
5/24/2024,DM014,Electronics,P8585,42,126.2,10%,4770.36,Bhubaneswar,Odisha
5/4/2024,DM010,Electronics,P5893,37,484.38,3%,17384.4,Lucknow,Uttar Pradesh
8/26/2024,DM018,Clothing,P9037,32,151.65,9%,4416.05,Shimla,Himachal Pradesh
4/15/2024,DM004,Electronics,P6860,1,134.1,4%,128.74,Chennai,Tamil Nadu
9/4/2024,DM016,Stationery,P6295,43,114.38,16%,4131.41,Thiruvananthapuram,Kerala
3/5/2024,DM010,Groceries,P6336,6,390.96,13%,2040.81,Lucknow,Uttar Pradesh
1/17/2024,DM013,Clothing,P3989,34,299.95,2%,9994.33,Patna,Bihar
10/30/2024,DM011,Stationery,P8158,28,191.21,22%,4176.03,Chandigarh,Punjab
11/4/2024,DM019,Stationery,P8720,16,130.48,1%,2066.8,Ranchi,Jharkhand
7/12/2024,DM001,Groceries,P6281,39,400.97,10%,14074.05,Mumbai,Maharashtra
10/13/2024,DM008,Home & Kitchen,P1545,21,107.1,16%,1889.24,Kolkata,West Bengal
4/19/2024,DM002,Home & Kitchen,P3245,47,115.05,3%,5245.13,Pune,Maharashtra
2/16/2024,DM005,Home & Kitchen,P2550,50,108.81,1%,5386.1,Hyderabad,Telangana
3/1/2024,DM011,Clothing,P5315,17,29.35,5%,474,Chandigarh,Punjab
8/19/2024,DM020,Clothing,P7169,9,495.19,2%,4367.58,Panaji,Goa
6/11/2024,DM020,Stationery,P5218,19,494.94,10%,8463.47,Panaji,Goa
11/15/2024,DM013,Groceries,P3197,25,422.75,28%,7609.5,Patna,Bihar
7/24/2024,DM020,Clothing,P9666,37,200.96,29%,5279.22,Panaji,Goa
2/10/2024,DM007,Groceries,P8756,30,251.54,9%,6867.04,Ahmedabad,Gujarat
4/3/2024,DM009,Clothing,P2832,44,168.52,22%,5783.61,Jaipur,Rajasthan
2/2/2024,DM020,Home & Kitchen,P8897,15,171.17,28%,1848.64,Panaji,Goa
7/18/2024,DM008,Clothing,P7029,32,23.64,1%,748.92,Kolkata,West Bengal
1/20/2024,DM012,Groceries,P5670,23,494.14,9%,10342.35,Indore,Madhya Pradesh
5/24/2024,DM014,Electronics,P5473,27,52.95,11%,1272.39,Bhubaneswar,Odisha
5/9/2024,DM010,Groceries,P2959,30,403.09,10%,10883.43,Lucknow,Uttar Pradesh
6/22/2024,DM011,Stationery,P1021,47,456.57,11%,19098.32,Chandigarh,Punjab
3/24/2024,DM018,Electronics,P9349,47,154.18,25%,5434.85,Shimla,Himachal Pradesh
11/29/2024,DM016,Home & Kitchen,P1762,11,363.94,6%,3763.14,Thiruvananthapuram,Kerala
12/30/2024,DM019,Electronics,P4204,43,244.04,18%,8604.85,Ranchi,Jharkhand
6/14/2024,DM001,Clothing,P6409,30,334.99,20%,8039.76,Mumbai,Maharashtra
12/4/2024,DM004,Groceries,P5396,46,190.62,11%,7803.98,Chennai,Tamil Nadu
3/3/2024,DM018,Electronics,P5214,13,115.9,11%,1340.96,Shimla,Himachal Pradesh
11/13/2024,DM020,Groceries,P5699,18,312.42,23%,4330.14,Panaji,Goa
12/14/2024,DM008,Clothing,P6786,24,156.68,8%,3459.49,Kolkata,West Bengal
11/5/2024,DM010,Stationery,P8067,25,78.43,13%,1705.85,Lucknow,Uttar Pradesh
3/9/2024,DM002,Electronics,P6890,21,47.65,16%,840.55,Pune,Maharashtra
7/31/2024,DM012,Stationery,P6065,37,50.1,20%,1482.96,Indore,Madhya Pradesh
1/25/2024,DM012,Stationery,P4427,12,363.61,22%,3403.39,Indore,Madhya Pradesh
10/28/2024,DM009,Groceries,P8553,21,104,3%,2118.48,Jaipur,Rajasthan
11/8/2024,DM005,Electronics,P1030,39,422.31,1%,16305.39,Hyderabad,Telangana
7/24/2024,DM004,Clothing,P2651,29,409.57,28%,8551.82,Chennai,Tamil Nadu
8/22/2024,DM003,Clothing,P5316,7,430.55,15%,2561.77,Bangalore,Karnataka
7/20/2024,DM018,Clothing,P3818,12,106.3,18%,1045.99,Shimla,Himachal Pradesh
8/27/2024,DM009,Groceries,P8988,29,433.56,23%,9681.39,Jaipur,Rajasthan
3/26/2024,DM005,Clothing,P5665,3,150.05,16%,378.13,Hyderabad,Telangana
8/5/2024,DM020,Groceries,P9169,48,482.69,23%,17840.22,Panaji,Goa
1/21/2024,DM019,Clothing,P6291,46,403.48,9%,16889.67,Ranchi,Jharkhand
5/18/2024,DM004,Clothing,P2813,15,116.22,6%,1638.7,Chennai,Tamil Nadu
6/10/2024,DM012,Groceries,P9008,20,240.07,22%,3745.09,Indore,Madhya Pradesh
7/15/2024,DM005,Stationery,P5336,19,212.22,21%,3185.42,Hyderabad,Telangana
1/20/2024,DM005,Electronics,P7200,30,458.89,27%,10049.69,Hyderabad,Telangana
12/5/2024,DM012,Clothing,P4220,17,263.26,30%,3132.79,Indore,Madhya Pradesh
8/16/2024,DM020,Groceries,P6705,24,379.12,25%,6824.16,Panaji,Goa
12/10/2024,DM003,Groceries,P7167,49,321.92,26%,11672.82,Bangalore,Karnataka
2/23/2024,DM005,Stationery,P8133,6,315.62,11%,1685.41,Hyderabad,Telangana
2/26/2024,DM010,Clothing,P1846,47,476.65,30%,15681.78,Lucknow,Uttar Pradesh
3/5/2024,DM012,Clothing,P3080,43,330.25,1%,14058.74,Indore,Madhya Pradesh
7/28/2024,DM014,Stationery,P1946,49,350.91,9%,15647.08,Bhubaneswar,Odisha
7/4/2024,DM011,Clothing,P3259,36,483.11,3%,16870.2,Chandigarh,Punjab
5/29/2024,DM017,Clothing,P6654,21,291.71,7%,5697.1,Dehradun,Uttarakhand
8/19/2024,DM020,Clothing,P3198,12,422.73,24%,3855.3,Panaji,Goa
2/14/2024,DM004,Groceries,P1109,42,261.59,15%,9338.76,Chennai,Tamil Nadu
7/8/2024,DM015,Clothing,P8173,11,22.14,23%,187.53,Guwahati,Assam
10/5/2024,DM004,Electronics,P6072,3,126.81,1%,376.63,Chennai,Tamil Nadu
3/15/2024,DM010,Home & Kitchen,P8797,41,265.12,12%,9565.53,Lucknow,Uttar Pradesh
10/5/2024,DM004,Electronics,P4168,49,411.14,7%,18735.65,Chennai,Tamil Nadu
4/30/2024,DM020,Electronics,P4949,20,348.71,13%,6067.55,Panaji,Goa
3/31/2024,DM002,Electronics,P2746,18,401.16,16%,6065.54,Pune,Maharashtra
4/8/2024,DM010,Stationery,P7823,4,214.7,21%,678.45,Lucknow,Uttar Pradesh
8/1/2024,DM017,Electronics,P9474,14,55.26,25%,580.23,Dehradun,Uttarakhand
9/9/2024,DM010,Groceries,P7884,44,134.25,22%,4607.46,Lucknow,Uttar Pradesh
6/8/2024,DM011,Electronics,P7822,11,23.19,2%,249.99,Chandigarh,Punjab
1/8/2024,DM001,Groceries,P8454,42,377.08,19%,12828.26,Mumbai,Maharashtra
8/24/2024,DM016,Home & Kitchen,P2060,21,131.02,13%,2393.74,Thiruvananthapuram,Kerala
1/31/2024,DM001,Stationery,P3181,43,12.84,7%,513.47,Mumbai,Maharashtra
4/15/2024,DM007,Clothing,P9491,14,462.57,24%,4921.74,Ahmedabad,Gujarat
6/13/2024,DM011,Electronics,P9344,35,139.99,24%,3723.73,Chandigarh,Punjab
5/24/2024,DM011,Clothing,P2210,17,383.81,5%,6198.53,Chandigarh,Punjab
2/11/2024,DM013,Groceries,P1963,3,366.79,24%,836.28,Patna,Bihar
2/23/2024,DM006,Home & Kitchen,P5861,5,31.35,12%,137.94,Delhi,Delhi
3/25/2024,DM002,Electronics,P5534,38,274.93,13%,9089.19,Pune,Maharashtra
5/11/2024,DM008,Clothing,P8454,2,107.83,20%,172.53,Kolkata,West Bengal
3/21/2024,DM002,Home & Kitchen,P9597,23,74.65,30%,1201.87,Pune,Maharashtra
8/24/2024,DM019,Stationery,P4236,48,234.75,26%,8338.32,Ranchi,Jharkhand
6/22/2024,DM014,Groceries,P5343,12,473.24,12%,4997.41,Bhubaneswar,Odisha
3/21/2024,DM019,Clothing,P9107,3,232.84,10%,628.67,Ranchi,Jharkhand
12/22/2024,DM013,Electronics,P2385,16,454.69,14%,6256.53,Patna,Bihar
2/24/2024,DM010,Home & Kitchen,P7077,10,463.74,13%,4034.54,Lucknow,Uttar Pradesh
4/23/2024,DM006,Stationery,P7237,16,240.32,1%,3806.67,Delhi,Delhi
2/26/2024,DM014,Groceries,P1304,8,390.25,28%,2247.84,Bhubaneswar,Odisha
9/17/2024,DM016,Home & Kitchen,P2195,8,481.82,28%,2775.28,Thiruvananthapuram,Kerala
2/25/2024,DM012,Stationery,P7306,29,159.46,4%,4439.37,Indore,Madhya Pradesh
3/7/2024,DM020,Clothing,P1701,7,64.84,4%,435.72,Panaji,Goa
3/15/2024,DM012,Electronics,P3870,7,287.03,25%,1506.91,Indore,Madhya Pradesh
10/15/2024,DM011,Home & Kitchen,P7379,26,70.6,18%,1505.19,Chandigarh,Punjab
12/12/2024,DM004,Home & Kitchen,P8639,32,25.04,8%,737.18,Chennai,Tamil Nadu
9/25/2024,DM003,Stationery,P5909,37,257.51,22%,7431.74,Bangalore,Karnataka
9/19/2024,DM001,Groceries,P5461,36,74.42,7%,2491.58,Mumbai,Maharashtra
2/12/2024,DM004,Groceries,P4088,3,84.93,6%,239.5,Chennai,Tamil Nadu
7/18/2024,DM016,Electronics,P8754,19,450.06,2%,8380.12,Thiruvananthapuram,Kerala
11/28/2024,DM013,Home & Kitchen,P6850,47,392.25,30%,12905.02,Patna,Bihar
4/5/2024,DM004,Home & Kitchen,P3199,4,170.17,27%,496.9,Chennai,Tamil Nadu
7/18/2024,DM009,Clothing,P8177,38,267.17,8%,9340.26,Jaipur,Rajasthan
5/24/2024,DM008,Clothing,P2695,14,197.3,12%,2430.74,Kolkata,West Bengal
4/10/2024,DM010,Clothing,P4968,23,385.46,22%,6915.15,Lucknow,Uttar Pradesh
11/22/2024,DM020,Groceries,P6038,48,223.74,12%,9450.78,Panaji,Goa
7/2/2024,DM007,Electronics,P2580,3,95.6,3%,278.2,Ahmedabad,Gujarat
12/25/2024,DM006,Groceries,P6151,38,74.21,25%,2114.98,Delhi,Delhi
2/21/2024,DM015,Stationery,P6001,13,377.43,5%,4661.26,Guwahati,Assam
5/29/2024,DM004,Groceries,P6114,16,133.51,14%,1837.1,Chennai,Tamil Nadu
9/5/2024,DM015,Groceries,P3456,2,436.64,26%,646.23,Guwahati,Assam
10/6/2024,DM004,Home & Kitchen,P4184,19,346.43,26%,4870.81,Chennai,Tamil Nadu
5/22/2024,DM016,Clothing,P1918,37,107.81,19%,3231.07,Thiruvananthapuram,Kerala
7/10/2024,DM015,Home & Kitchen,P6022,8,32.64,11%,232.4,Guwahati,Assam
7/31/2024,DM020,Clothing,P8245,26,155.11,17%,3347.27,Panaji,Goa
8/11/2024,DM009,Electronics,P9272,9,55.8,7%,467.05,Jaipur,Rajasthan
6/7/2024,DM014,Stationery,P2317,50,63.73,21%,2517.34,Bhubaneswar,Odisha
9/21/2024,DM018,Electronics,P8866,27,281.56,23%,5853.63,Shimla,Himachal Pradesh
8/30/2024,DM011,Groceries,P7884,32,440.22,26%,10424.41,Chandigarh,Punjab
10/7/2024,DM003,Stationery,P6873,47,219.85,18%,8473.02,Bangalore,Karnataka
6/9/2024,DM006,Electronics,P5276,18,295.41,24%,4041.21,Delhi,Delhi
1/11/2024,DM011,Home & Kitchen,P2353,34,295.19,27%,7326.62,Chandigarh,Punjab
7/30/2024,DM003,Clothing,P2113,29,394.77,1%,11333.85,Bangalore,Karnataka
12/31/2024,DM008,Home & Kitchen,P4553,22,345.08,2%,7439.92,Kolkata,West Bengal
11/14/2024,DM008,Groceries,P7006,28,405.18,29%,8054.98,Kolkata,West Bengal
7/21/2024,DM002,Stationery,P9612,19,189.87,30%,2525.27,Pune,Maharashtra
12/17/2024,DM015,Electronics,P5957,44,410.95,1%,17900.98,Guwahati,Assam
12/28/2024,DM013,Electronics,P6474,49,275.31,10%,12141.17,Patna,Bihar
4/5/2024,DM003,Groceries,P1283,10,271.25,22%,2115.75,Bangalore,Karnataka
2/3/2024,DM020,Clothing,P1738,24,125.27,22%,2345.05,Panaji,Goa
2/15/2024,DM005,Clothing,P3719,18,198.26,18%,2926.32,Hyderabad,Telangana
5/7/2024,DM001,Home & Kitchen,P7922,16,260.75,11%,3713.08,Mumbai,Maharashtra
3/13/2024,DM008,Stationery,P1455,49,165.66,1%,8036.17,Kolkata,West Bengal
12/4/2024,DM017,Groceries,P3151,48,85.4,5%,3894.24,Dehradun,Uttarakhand
4/25/2024,DM013,Electronics,P7341,7,198.64,21%,1098.48,Patna,Bihar
3/24/2024,DM014,Stationery,P8957,19,269.37,2%,5015.67,Bhubaneswar,Odisha
12/21/2024,DM014,Home & Kitchen,P2024,31,58.64,9%,1654.23,Bhubaneswar,Odisha
9/3/2024,DM012,Clothing,P3631,6,131.94,0%,791.64,Indore,Madhya Pradesh
4/23/2024,DM003,Groceries,P8701,24,289.54,25%,5211.72,Bangalore,Karnataka
2/14/2024,DM009,Home & Kitchen,P8690,44,27.67,29%,864.41,Jaipur,Rajasthan
2/7/2024,DM009,Clothing,P3831,16,329.9,29%,3747.66,Jaipur,Rajasthan
5/8/2024,DM014,Stationery,P8279,38,344.26,5%,12427.79,Bhubaneswar,Odisha
7/23/2024,DM005,Stationery,P8766,21,429.8,21%,7130.38,Hyderabad,Telangana
2/9/2024,DM019,Home & Kitchen,P9763,35,397.58,22%,10853.93,Ranchi,Jharkhand
6/28/2024,DM016,Home & Kitchen,P6142,9,427.12,26%,2844.62,Thiruvananthapuram,Kerala
3/26/2024,DM015,Electronics,P3608,21,312.16,10%,5899.82,Guwahati,Assam
10/1/2024,DM015,Stationery,P8526,34,114.21,23%,2990.02,Guwahati,Assam
5/8/2024,DM010,Electronics,P1188,13,403.63,10%,4722.47,Lucknow,Uttar Pradesh
9/30/2024,DM012,Groceries,P5169,11,185.73,25%,1532.27,Indore,Madhya Pradesh
1/17/2024,DM011,Groceries,P1689,16,457.09,24%,5558.21,Chandigarh,Punjab
12/14/2024,DM012,Groceries,P3819,4,16.72,3%,64.87,Indore,Madhya Pradesh
12/2/2024,DM010,Stationery,P2535,45,409.24,7%,17126.69,Lucknow,Uttar Pradesh
9/5/2024,DM006,Stationery,P9029,22,476.23,23%,8067.34,Delhi,Delhi
12/25/2024,DM020,Electronics,P9075,33,432.05,15%,12119,Panaji,Goa
12/22/2024,DM003,Groceries,P6578,45,248.99,18%,9187.73,Bangalore,Karnataka
5/3/2024,DM019,Electronics,P4160,23,479.46,27%,8050.13,Ranchi,Jharkhand
2/6/2024,DM014,Home & Kitchen,P6219,40,358.95,19%,11629.98,Bhubaneswar,Odisha
4/5/2024,DM018,Clothing,P9077,48,281.1,17%,11199.02,Shimla,Himachal Pradesh
10/18/2024,DM002,Electronics,P3741,43,364.9,11%,13964.72,Pune,Maharashtra
3/31/2024,DM011,Clothing,P9017,4,214.34,12%,754.48,Chandigarh,Punjab
8/19/2024,DM009,Stationery,P7755,15,191.57,23%,2212.63,Jaipur,Rajasthan
8/30/2024,DM020,Groceries,P4707,39,259.79,16%,8510.72,Panaji,Goa
8/8/2024,DM020,Clothing,P4177,38,344.6,9%,11916.27,Panaji,Goa
11/22/2024,DM018,Electronics,P9170,17,452.48,25%,5769.12,Shimla,Himachal Pradesh
7/31/2024,DM013,Home & Kitchen,P5252,13,198.78,25%,1938.11,Patna,Bihar
4/27/2024,DM001,Stationery,P1532,8,290.49,20%,1859.14,Mumbai,Maharashtra
8/17/2024,DM009,Clothing,P8468,49,120.49,2%,5785.93,Jaipur,Rajasthan
